Designator,Footprint,Quantity,Value,LCSC Part #
AC2,LSM6DS3USTR,1,LSM6DSOTR,
"C1, C15, C18, C22, C5",0805,5,10uF,
"C16, C19",0805,2,2.2uF,
"C17, C6",1206,2,47uF,
"C2, C23, C25, C26, C27, C28, C4, C8",0603,8,100nF,
C20,1206,1,22uF,
"C21, C24, C3",0805,3,1uF,
C7,1206,1,470uF,
"D1, D2",0805,2,LED,
"D3, D4",D_SMA,2,SS14-E3/5AT,
F2,MFNSMF0758X2,1,MF-NSMF075_8X-2,
IC1,SOT65P210X110-6N,1,TPS22919DCKT,
IC4,SON40P220X200X80-11N,1,BQ25185DLHR,
IC5,ESP32S3WROOM1UN16R8,1,ESP32-S3-WROOM-1U-N16R8,
IC6,BMP390,1,BMP390,
J1,1040310811,1,Micro_SD_Card_Det1,
J10,PinHeader_2x09_P2.54mm_Vertical,1,Camera,
J2,PinHeader_1x09_P2.54mm_Vertical,1,LORA MODULE,
J3,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J6,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J7,PinHeader_1x02_P2.54mm_Vertical,1,Battery,
J9,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,
L2,DFE2HCAH1R0MJ0L,1,1uH,
"R1, R24, R25",0603,3,22,
"R10, R17, R23, R28, R3, R4, R5, R6, R7, R8, R9",0603,11,10K,
R11,0603,1,0,
"R12, R26, R27",0603,3,4.7K,
"R13, R2, R22",0603,3,100K,
R14,0603,1,220,
"R15, R16",0603,2,5.1K,
R18,0603,1,18K,
R19,0603,1,1K,
R20,0603,1,511K,
R21,0603,1,91K,
"SW5, SW6",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
TP1,TestPoint_Pad_1.0x1.0mm,1,GND1,
TP2,TestPoint_Pad_1.0x1.0mm,1,TestPoint,
TP3,TestPoint_Pad_1.0x1.0mm,1,GND2,
TP4,TestPoint_Pad_1.0x1.0mm,1,VBAT,
TP5,TestPoint_Pad_1.0x1.0mm,1,SYS_SW,
TP6,TestPoint_Pad_1.0x1.0mm,1,3v3,
TP8,TestPoint_Pad_1.0x1.0mm,1,SDA,
TP9,TestPoint_Pad_1.0x1.0mm,1,SCL,
U3,SOTFL50P160X60-8N,1,TPS631000DRLR,
