Designator,Mid X,Mid Y,Rotation,Layer
AC2,175.491,-84.2,180.0,top
C1,146.79,-79.94,270.0,top
C15,149.98,-55.96,90.0,top
C16,149.64,-52.16,90.0,top
C17,154.8,-63.3,90.0,top
C18,191.31,-55.09,0.0,top
C19,159.03,-53.57,90.0,top
C2,148.68,-79.78,270.0,top
C20,151.0,-72.7,270.0,top
C21,191.31,-61.11,0.0,top
C22,191.31,-64.12,0.0,top
C23,182.82,-84.35,0.0,top
C24,191.31,-67.13,0.0,top
C25,170.53,-80.09,90.0,top
C26,172.07,-85.32,270.0,top
C27,175.47,-81.03,0.0,top
C28,172.11,-82.22,270.0,top
C3,174.11,-52.82,270.0,top
C4,182.82,-79.33,0.0,top
C5,187.23,-59.65,0.0,top
C6,183.74,-69.31,0.0,top
C7,172.33,-49.35,180.0,top
C8,175.61,-49.51,270.0,top
D1,170.19,-39.56,0.0,top
D2,170.14,-42.69,0.0,top
D3,154.3,-52.4,180.0,top
D4,3.57,-1.775,0.0,top
F2,188.98,-40.95,0.0,top
IC1,177.2,-52.58,0.0,top
IC4,152.96,-57.2525,0.0,top
IC5,168.11,-67.9,270.0,top
IC6,169.162,-84.1,0.0,top
J1,150.26,-89.356,0.0,top
J10,145.77,-66.16,180.0,top
J2,169.76,-92.4,270.0,top
J3,174.91,-46.18,270.0,top
J6,162.0,-41.7,180.0,top
J7,195.0,-78.76,0.0,top
J9,163.2,-84.8,0.0,top
L2,154.7,-69.125,90.0,top
R1,172.3,-55.61,270.0,top
R10,173.83,-39.46,0.0,top
R11,177.26,-39.49,180.0,top
R12,173.735,-42.72,0.0,top
R13,190.47,-83.3,0.0,top
R14,178.05,-49.57,270.0,top
R15,164.225,-47.8,180.0,top
R16,159.2,-47.6,180.0,top
R17,158.58,-56.52,0.0,top
R18,155.98,-59.37,270.0,top
R19,155.89,-55.7,90.0,top
R2,186.83,-76.82,0.0,top
R20,150.0,-65.0,270.0,top
R21,152.1,-65.0,90.0,top
R22,151.975,-76.32,0.0,top
R23,194.48,-85.81,0.0,top
R24,161.1,-54.0,270.0,top
R25,162.9,-54.0,90.0,top
R26,194.85,-91.88,0.0,top
R27,183.26,-48.36,0.0,top
R28,183.26,-50.87,0.0,top
R3,186.83,-79.33,0.0,top
R4,186.83,-81.84,0.0,top
R5,186.83,-84.35,0.0,top
R6,186.83,-86.86,0.0,top
R7,186.83,-89.37,0.0,top
R8,168.98,-80.075,270.0,top
R9,186.83,-94.39,0.0,top
SW5,146.6,-41.45,0.0,top
SW6,146.6,-45.9,0.0,top
TP1,187.72,-70.62,0.0,top
TP2,187.72,-73.67,0.0,top
TP3,190.77,-70.62,0.0,top
TP4,190.77,-73.67,0.0,top
TP5,193.82,-70.62,0.0,top
TP6,193.82,-73.67,0.0,top
TP8,196.87,-70.62,0.0,top
TP9,196.87,-73.67,0.0,top
U3,151.1,-68.1,0.0,top
