Designator,Footprint,Quantity,Value,LCSC Part #
"C15, C18, C22",0805,3,10uF,
"C16, C19",0805,2,2.2uF,
C17,1206,1,47uF,
C20,1206,1,22uF,
"C21, C24",0805,2,1uF,
C23,0603,1,100nF,
D1,0805,1,LED,
D3,D_SMA,1,SS14-E3/5AT,
F2,MFNSMF0758X2,1,MF-NSMF075_8X-2,
IC4,SON40P220X200X80-11N,1,BQ25185DLHR,
IC5,ESP32S3WROOM1UN16R8,1,ESP32-S3-WROOM-1U-N16R8,
"J11, J15, J16, J4, J5",JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,5,Conn_01x04_Socket,
"J12, J13",JST_PH_B8B-PH-K_1x08_P2.00mm_Vertical,2,Conn_01x08_Socket,
J14,PinHeader_1x09_P2.54mm_Vertical,1,Conn_01x09_Socket,
J6,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J7,PinHeader_1x02_P2.54mm_Vertical,1,Battery,
L2,DFE2HCAH1R0MJ0L,1,1uH,
"R10, R17, R23, R28",0603,4,10K,
R11,0603,1,0,
"R15, R16",0603,2,5.1K,
R18,0603,1,18K,
R19,0603,1,1K,
R20,0603,1,511K,
R21,0603,1,91K,
R22,0603,1,100K,
"R24, R25",0603,2,22,
"R26, R27",0603,2,4.7K,
S2,SSAJ110100_1,1,SSAJ110100,
"SW5, SW6",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
U3,SOTFL50P160X60-8N,1,TPS631000DRLR,
