Designator,Mid X,Mid Y,Rotation,Layer
C15,150.35,-58.599999,270.0,top
C16,152.845,-54.939999,90.0,top
C17,158.51,-59.345,0.0,top
C18,150.625,-55.11,90.0,top
C19,146.45,-58.594999,90.0,top
C20,160.43,-65.06,0.0,top
C21,134.96,-66.425,180.0,top
C22,135.705,-69.22,270.0,top
C23,134.965,-64.615,180.0,top
C24,139.565,-63.030001,270.0,top
D1,136.855,-87.81,0.0,top
D3,141.4825,-59.345,180.0,top
F2,135.62,-58.295,90.0,top
IC4,147.4,-55.452499,180.0,top
IC5,147.462314,-75.596465,0.0,top
J11,167.98,-69.525,270.0,top
J12,147.555,-92.95,0.0,top
J13,203.355,-90.435,0.0,top
J14,203.715,-84.785,90.0,top
J15,195.04,-54.165,45.0,top
J16,213.75967,-53.20033,315.0,top
J4,224.67,-71.935,270.0,top
J5,205.0,-51.71,0.0,top
J6,127.255,-73.835,270.0,top
J7,155.96,-54.935,0.0,top
L2,153.885,-62.36,90.0,top
R10,140.505,-87.965,0.0,top
R11,143.995,-87.995,180.0,top
R15,132.995,-69.97,270.0,top
R16,129.625,-80.14,0.0,top
R17,143.765,-53.569999,180.0,top
R18,143.77,-55.164999,180.0,top
R19,143.77,-56.724999,180.0,top
R20,162.47,-60.485,0.0,top
R21,163.625,-62.79,270.0,top
R22,161.23,-63.09,180.0,top
R23,137.68,-62.915,270.0,top
R24,135.15,-82.16,0.0,top
R25,135.155,-83.735,180.0,top
R26,164.615,-70.02,90.0,top
R27,164.545,-66.92,90.0,top
R28,167.45,-77.595,0.0,top
S2,148.745,-52.1375,180.0,top
SW5,143.46,-62.985,180.0,top
SW6,167.715,-82.37,270.0,top
U3,158.445,-62.535,0.0,top
